code,team_id,team_name,team_short_name,unavailable,pulse_id,event_id,fixture_id,fixture_difficulty,opponent_team,opponent_score,team_score,Game_played,is_home
3,1,Arsenal,ARS,False,1,11,107.0,4.0,15.0,,,False,False
7,2,Aston Villa,AVL,False,2,11,108.0,2.0,16.0,,,False,False
91,3,Bournemouth,BOU,False,127,11,106.0,5.0,13.0,,,False,False
94,4,Brentford,BRE,False,130,11,101.0,2.0,19.0,,,False,True
36,5,Brighton,BHA,False,131,11,103.0,2.0,9.0,,,False,False
90,6,Burnley,BUR,False,43,11,102.0,2.0,8.0,,,False,True
8,7,Chelsea,CHE,False,4,11,110.0,3.0,18.0,,,False,False
31,8,Crystal Palace,CRY,False,6,11,102.0,2.0,6.0,,,False,False
11,9,Everton,EVE,False,7,11,103.0,3.0,5.0,,,False,True
54,10,Fulham,FUL,False,34,11,104.0,3.0,14.0,,,False,True
14,11,Liverpool,LIV,False,10,11,105.0,2.0,12.0,,,False,False
102,12,Luton,LUT,False,163,11,105.0,4.0,11.0,,,False,True
43,13,Man City,MCI,False,11,11,106.0,2.0,3.0,,,False,True
1,14,Man Utd,MUN,False,12,11,104.0,2.0,10.0,,,False,False
4,15,Newcastle,NEW,False,23,11,107.0,4.0,1.0,,,False,True
17,16,Nott'm Forest,NFO,False,15,11,108.0,3.0,2.0,,,False,True
49,17,Sheffield Utd,SHU,False,18,11,109.0,2.0,20.0,,,False,True
6,18,Spurs,TOT,False,21,11,110.0,3.0,7.0,,,False,True
21,19,West Ham,WHU,False,25,11,101.0,3.0,4.0,,,False,False
39,20,Wolves,WOL,False,38,11,109.0,2.0,17.0,,,False,False
3,1,Arsenal,ARS,False,1,12,111.0,2.0,6.0,,,False,True
7,2,Aston Villa,AVL,False,2,12,112.0,2.0,10.0,,,False,True
91,3,Bournemouth,BOU,False,127,12,113.0,4.0,15.0,,,False,True
94,4,Brentford,BRE,False,130,12,117.0,4.0,11.0,,,False,False
36,5,Brighton,BHA,False,131,12,114.0,2.0,17.0,,,False,True
